Active-HDL 10.2.3312.5682  2016-05-18 15:04:03

Elaboration top modules:
Architecture                  behavior(testbench)


-------------------------------------------------------------------------------------------------------------
Entity                   | Architecture | Library   | Info | Compiler Version          | Compilation Options
-------------------------------------------------------------------------------------------------------------
testbench                | behavior     | work      |      | 10.2.3312.5682  (Windows) | -dbg
main                     | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_0                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_1                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_2                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_3                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_4                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_5                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_6                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_7                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_8                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_9                  | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_10                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_11                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_12                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_13                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_14                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_15                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_16                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_17                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_18                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_19                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_20                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_21                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_22                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_23                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_24                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_25                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_26                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_27                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_28                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_29                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_32                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_33                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_34                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_37                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_38                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_39                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_40                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_41                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_42                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_43                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_44                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_45                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_46                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_47                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_48                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_49                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_50                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_51                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_52                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
SLICE_53                 | structure    | work      |      | 10.2.3312.5682  (Windows) | -dbg
